Phase Name,Step (Local),X: Step Global,Y: Sigma 1 (Major) (kPa)
Fill 1,1,1,-11.106975181040017
Fill 1,2,2,-11.937718491250017
Fill 1,3,3,-13.183833048844118
Fill 1,4,4,-15.053004105442714
Fill 1,5,5,-17.856759292494587
Fill 1,6,6,-21.629711835922574
Fill 2,1,7,-22.517141282951357
Fill 2,2,8,-23.04637218423253
Fill 2,3,9,-23.8402184902256
Fill 2,4,10,-25.03098785454867
Fill 2,5,11,-26.817141713331345
Fill 2,6,12,-29.496372148573794
Fill 2,7,13,-32.57252519401287
Fill 3,1,14,-33.79557621392095
Fill 3,2,15,-34.298998989426195
Fill 3,3,16,-35.054118517863046
Fill 3,4,17,-36.18658031715886
Fill 3,5,18,-37.88511228789058
Fill 3,6,19,-40.43143062601968
Fill 3,7,20,-43.34085307649384
Fill 4,1,21,-44.77961648003493
Fill 4,2,22,-45.25361371037426
Fill 4,3,23,-45.96460882191997
Fill 4,4,24,-47.02979757330901
Fill 4,5,25,-48.625272448318825
Fill 4,6,26,-50.991302898820926
Fill 4,7,27,-53.35230394019769
Fill 4,8,28,-53.69679758260522
Fill 5,1,29,-55.19357764868374
Fill 5,2,30,-55.632533389126834
Fill 5,3,31,-56.29561828577724
Fill 5,4,32,-57.29609336521205
Fill 5,5,33,-58.857298547177535
Fill 5,6,34,-60.400288632672186
Fill 5,7,35,-61.98361301529715
Fill 5,8,36,-63.567770523874714
Fill 5,9,37,-63.8968249996659
Load 1,1,38,-64.29061657118777
Load 1,2,39,-64.92882413656992
Load 1,3,40,-66.60897325462109
Load 1,4,41,-68.17291086825438
Load 1,5,42,-69.77018333718895
Load 1,6,43,-71.3854520406617
Load 1,7,44,-73.0102306359826
Load 1,8,45,-74.6695192894721
Load 1,9,46,-76.45769640785605
Load 1,10,47,-77.73785168914692
SF 1,1,48,-79.45250363136394
SF 1,2,49,-81.60993050920615
SF 1,3,50,-83.48237891029389
SF 1,4,51,-85.101853242589
SF 1,5,52,-86.48947281768235
SF 1,6,53,-87.85189330720067
SF 1,7,54,-89.20162809208591
SF 1,8,55,-90.61224328351658
SF 1,9,56,-92.17994858674514
SF 1,10,57,-93.7420102970269
SF 1,11,58,-94.37355831430891
SF 1,12,59,-94.7789710484177
SF 1,13,60,-94.60702332216056
SF 1,14,61,-93.85335139803445
SF 1,15,62,-92.98996806712906
SF 1,16,63,-92.60253701790745
SF 1,17,64,-92.2253013746688
SF 1,18,65,-91.8858646475918
SF 1,19,66,-91.75047898588642
SF 1,20,67,-91.62982609566882
SF 1,21,68,-91.51208647476352
SF 1,22,69,-91.48364745360348
SF 1,23,70,-91.54010620755163
SF 1,24,71,-91.61034617299337
SF 1,25,72,-91.69905565349795
SF 1,26,73,-91.81049058781223
SF 1,27,74,-91.8619137218101
SF 1,28,75,-91.93616690365465
SF 1,29,76,-92.0400865867588
SF 1,30,77,-92.07957760682464
SF 1,31,78,-92.15800374855584
SF 1,32,79,-92.22550929944441
SF 1,33,80,-92.30349980792047
SF 1,34,81,-92.38232397552252
SF 1,35,82,-92.41411274626233
SF 1,36,83,-92.45825270318484
SF 1,37,84,-92.5008065135129
SF 1,38,85,-92.55381953496972
SF 1,39,86,-92.60011046672079
SF 1,40,87,-92.65501597207277
DPT Construction,1,38,-63.92203742470144
DPT Construction,2,39,-63.92035799843228
DPT Construction,3,40,-63.92261377489759
DPT Construction,4,41,-63.928949917005504
DPT Construction,5,42,-63.93997011850298
DPT Construction,6,43,-63.957244444129195
DPT Construction,7,44,-63.976767322001564
Fill 6,1,45,-64.02150083897978
Fill 6,2,46,-64.01923809581265
Fill 6,3,47,-64.01836022122022
Fill 6,4,48,-64.01908011609885
Fill 6,5,49,-64.02147787029486
Fill 6,6,50,-64.02590859958954
Fill 6,7,51,-64.03120892923191
Fill 7,1,52,-64.05288248330146
Fill 7,2,53,-64.05659621032059
Fill 7,3,54,-64.06237953119127
Fill 7,4,55,-64.07123949312434
Fill 7,5,56,-64.0846533965586
Fill 7,6,57,-64.1047803461233
Fill 7,7,58,-64.12736582743685
Fill 8,1,59,-64.15181347942664
Fill 8,2,60,-64.15869305347879
Fill 8,3,61,-64.16951296718948
Fill 8,4,62,-64.18608237382074
Fill 8,5,63,-64.21106990640799
Fill 8,6,64,-64.24862864076262
Fill 8,7,65,-64.2905557811909
Fill 9,1,66,-64.31358838663448
Fill 9,2,67,-64.32386292422362
Fill 9,3,68,-64.33979295961242
Fill 9,4,69,-64.36396123400826
Fill 9,5,70,-64.4003902610102
Fill 9,6,71,-64.45512669378
Fill 9,7,72,-64.51666049454725
Fill 10,1,73,-64.53784606424406
Fill 10,2,74,-64.55229454628841
Fill 10,3,75,-64.57523154112512
Fill 10,4,76,-64.60973112927054
Fill 10,5,77,-64.66175477757305
Fill 10,6,78,-64.74018391704519
Fill 10,7,79,-64.82260978207931
Final Load,1,80,-65.23903205087475
Final Load,2,81,-65.85879582829656
Final Load,3,82,-66.82758521589922
Final Load,4,83,-67.82156151166272
Final Load,5,84,-69.24517404564986
Final Load,6,85,-70.80333559828661
Final Load,7,86,-72.40162906688717
Final Load,8,87,-74.00294639319674
Final Load,9,88,-75.63056068642507
Final Load,10,89,-76.8545397638577
Final SF Analysis,1,90,-78.46825980535107
Final SF Analysis,2,91,-80.64285611554028
Final SF Analysis,3,92,-82.64417248175428
Final SF Analysis,4,93,-84.34748500516625
Final SF Analysis,5,94,-85.76205149944582
Final SF Analysis,6,95,-87.02975379001772
Final SF Analysis,7,96,-88.16169151457703
Final SF Analysis,8,97,-89.24013738951729
Final SF Analysis,9,98,-90.3146943554695
Final SF Analysis,10,99,-91.46639334138058
Final SF Analysis,11,100,-92.16751021553118
Final SF Analysis,12,101,-92.98273878797599
Final SF Analysis,13,102,-93.30131114814164
Final SF Analysis,14,103,-93.35526014440087
Final SF Analysis,15,104,-93.23678042421645
Final SF Analysis,16,105,-93.09346193650035
Final SF Analysis,17,106,-92.92399440504919
Final SF Analysis,18,107,-92.88708658744666
Final SF Analysis,19,108,-92.83173439448349
Final SF Analysis,20,109,-92.74854405544936
Final SF Analysis,21,110,-92.74057759597815
Final SF Analysis,22,111,-92.74916676264277
Final SF Analysis,23,112,-92.76974637262764
Final SF Analysis,24,113,-92.78923263703862
Final SF Analysis,25,114,-92.80727912210651
Final SF Analysis,26,115,-92.82863720752029
